ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
1.76, 0.37, -5.69, -0.66, -0.12, -0.68, 3.81, 1.71, 6.02, -0.78, -0.22, 0.11, 0.93, 8.81, 0.87, -0.10, 0.30, 0.05
0.40, 3.18, -5.04, 1.17, 0.65, 1.36, 5.36, -1.37, 5.78, 1.07, 0.33, -0.46, 0.11, 9.17, 0.18, 0.06, -0.00, -0.01
2.50, 2.92, -5.94, 1.45, 0.68, 1.32, 6.05, -0.12, 5.58, 1.26, 0.12, -0.81, 0.66, 9.28, 0.17, -0.11, 0.00, -0.00
3.36, 1.94, -6.75, 1.66, 0.80, 1.26, 5.99, 0.53, 5.85, 1.51, 0.26, -0.99, 0.70, 9.45, 1.05, -0.08, -0.05, 0.00
4.41, -1.39, -7.23, 2.38, 0.71, 2.04, 5.80, 2.77, 5.41, 2.05, 0.53, -1.28, 0.48, 9.24, 1.17, -0.08, -0.09, 0.00
2.32, 2.26, -5.34, 1.87, 0.08, 1.12, 5.78, -1.48, 4.71, 1.18, 0.22, -0.86, 1.00, 9.46, 1.09, 0.08, -0.13, -0.07
2.74, 1.66, -5.12, 1.68, -0.09, 0.83, 5.77, -1.04, 4.79, 1.13, 0.09, -0.87, 1.26, 8.68, 0.41, 0.18, 0.08, -0.05
3.03, 2.06, -5.31, 1.36, -0.11, 0.69, 6.06, -1.41, 4.85, 1.00, -0.05, -0.76, 1.99, 9.49, 0.74, 0.11, 0.04, -0.02
3.12, 1.99, -4.20, 1.42, 0.16, 0.86, 6.27, -1.64, 4.08, 1.00, -0.08, -0.90, 1.28, 8.80, 0.86, 0.22, 0.02, 0.01
2.22, 8.50, -3.51, 0.11, 0.19, -0.32, 9.34, 1.64, -0.91, 0.13, 0.01, -0.03, -0.84, 9.55, -2.04, -0.02, 0.04, -0.05
2.82, 8.49, -3.99, -0.47, -0.11, 0.42, 9.94, 1.58, -0.63, 0.05, -0.14, 0.01, -0.53, 9.43, -1.97, 0.04, -0.07, 0.04
4.81, 8.13, -2.46, -0.17, -0.23, 0.21, 10.03, 1.48, -0.78, 0.02, -0.03, -0.08, -0.35, 9.50, -1.93, -0.06, -0.01, -0.03
2.90, 8.43, -5.21, 0.13, 0.32, -0.73, 9.96, 1.47, -0.46, 0.05, -0.06, -0.29, -0.17, 9.42, -2.25, -0.02, 0.13, -0.04
1.43, 8.38, -4.12, -0.52, -0.06, -0.00, 9.75, 1.82, -0.66, -0.08, -0.31, -0.05, -0.28, 9.58, -1.85, 0.10, 0.01, 0.01
1.59, 8.77, -3.22, -0.49, -0.35, 0.52, 9.93, 2.10, -1.08, -0.03, -0.15, -0.12, -0.18, 9.53, -2.05, 0.03, -0.05, 0.03
1.73, 8.67, -3.12, -0.48, -0.09, 0.56, 9.78, 2.18, -1.14, 0.07, -0.12, -0.25, -0.18, 9.63, -1.87, 0.02, -0.01, 0.01
2.29, 8.54, -2.45, -0.44, -0.23, 0.81, 9.96, 2.31, -1.25, 0.18, -0.03, -0.15, -0.28, 9.48, -2.05, 0.05, 0.03, -0.04
3.65, 8.69, -1.68, 0.19, -0.36, 0.54, 9.94, 2.48, -1.54, 0.02, 0.27, -0.13, -0.43, 9.51, -2.12, 0.01, -0.08, 0.02
3.92, 8.84, -3.05, 0.34, -0.35, 0.35, 10.23, 2.44, -1.00, 0.05, 0.28, -0.10, -0.52, 9.46, -2.13, 0.00, 0.01, 0.01
7.88, -1.47, -5.40, -1.14, -0.61, -2.15, 2.16, 7.59, 4.33, -1.07, -1.91, 0.36, -0.50, 8.94, 2.74, -0.51, 0.02, -0.11
6.32, 1.49, -4.99, 1.71, 0.52, 2.07, 4.23, 6.44, 3.81, 1.03, 2.69, 0.07, -0.64, 7.13, 5.06, 0.48, 0.12, 0.07
6.67, -3.09, -6.24, 0.32, 0.81, 0.47, 0.61, 2.88, 7.50, 1.92, 1.16, 0.36, -0.29, 9.04, 1.56, -0.13, 0.03, -0.04
6.83, 3.06, -4.37, 0.02, 0.15, 0.25, 6.47, 2.87, 5.64, 0.53, 0.67, -0.21, 1.59, 8.42, 3.39, -0.09, -0.33, 0.10
5.54, -3.74, -6.34, -0.47, -0.38, -0.34, 1.93, -1.15, 7.23, -1.22, -1.03, -0.45, -1.71, 9.28, 1.76, -0.30, 0.12, -0.04
7.10, -4.45, -7.43, -0.76, -0.63, -1.37, 0.40, 6.87, 5.39, -1.78, -1.74, -0.26, -0.03, 11.89, 2.31, -0.12, -0.06, 0.03
3.10, 4.44, -6.72, 0.83, 1.08, 1.00, 8.03, 3.22, 3.11, 1.18, 2.28, -0.22, -0.20, 8.10, 4.64, -0.04, 0.01, -0.00
2.62, 6.17, -7.12, -0.79, -0.44, -0.46, 9.14, 3.12, 3.17, -0.22, -1.18, -0.34, -0.64, 7.84, 3.98, -0.45, -0.02, 0.04
3.88, 4.69, -6.73, 0.58, 0.66, 0.73, 8.45, 2.70, 3.48, 0.55, 1.30, -0.18, -0.45, 8.61, 4.55, 0.23, 0.00, 0.01
5.29, 1.38, -8.18, -0.28, -0.15, -0.24, 7.14, 0.04, 6.30, -0.39, -0.82, -0.29, -0.16, 7.69, 4.47, -0.30, -0.14, -0.06
-1.91, 8.36, -1.81, 0.40, 0.21, 0.29, 10.11, 1.24, -0.60, 0.19, 0.32, -0.05, 1.03, 9.64, -0.61, 0.05, -0.05, 0.01
-2.12, 8.77, -0.99, -0.56, -0.25, -0.34, 10.09, 1.34, -1.07, -0.06, -0.51, -0.00, 1.25, 9.65, 0.01, 0.07, 0.02, -0.01
-0.40, 9.23, -3.81, -0.77, -0.42, -0.10, 10.02, 1.48, 0.86, -0.12, -0.61, -0.05, 1.23, 9.70, 0.05, -0.01, -0.05, -0.01
-1.04, 9.43, -3.67, 0.19, -0.00, 0.09, 10.06, 1.37, 0.59, 0.11, 0.15, -0.03, 0.92, 9.77, -0.37, -0.06, -0.02, 0.04
-1.75, 8.95, -1.70, 0.62, 0.24, 0.27, 10.10, 1.37, -0.38, 0.10, 0.53, 0.01, 0.88, 9.65, -0.46, -0.00, -0.02, -0.02
-2.22, 8.78, -1.26, 0.17, 0.08, 0.10, 10.17, 1.51, -0.45, 0.10, 0.12, -0.03, 1.01, 9.71, -0.29, 0.04, -0.01, -0.04
-0.93, 8.99, -1.16, -0.47, 0.08, -0.14, 10.11, 1.70, -0.16, -0.00, -0.34, -0.06, 1.01, 9.60, 0.07, 0.07, 0.02, 0.00
0.36, 8.93, -4.43, -0.64, -0.04, -0.41, 9.70, 1.80, 1.51, -0.04, -0.57, 0.01, 0.98, 9.60, 0.49, 0.01, 0.04, -0.00
0.11, 9.42, -4.11, -0.24, -0.06, -0.08, 9.94, 2.10, 1.17, 0.00, -0.17, -0.07, 0.86, 9.70, 0.58, -0.03, -0.01, -0.01
0.76, 9.33, -4.67, 0.30, -0.14, 0.17, 9.75, 2.18, 1.43, 0.11, 0.32, -0.11, 1.00, 9.47, 0.10, -0.10, -0.02, 0.00
5.47, 8.09, -3.99, 0.52, 0.22, -0.06, 9.98, 2.69, -0.13, 0.17, 0.30, 0.02, -0.40, 9.68, -2.09, -0.06, 0.02, 0.01
4.59, 8.30, -5.38, 0.39, -0.05, -0.51, 9.89, 2.69, 0.16, 0.16, 0.16, 0.13, -0.31, 9.64, -1.98, -0.01, 0.02, 0.03
2.76, 7.78, -5.36, -0.28, 0.08, -0.67, 10.07, 3.01, -0.26, 0.26, 0.51, 0.01, -0.30, 9.59, -1.70, 0.02, 0.04, 0.00
0.91, 8.00, -4.78, -0.54, -0.38, -0.05, 9.62, 2.25, -0.44, -0.23, -0.42, 0.06, -0.27, 9.60, -1.97, 0.07, -0.00, -0.01
2.16, 8.57, -3.99, -0.08, -0.11, 0.38, 10.35, 1.07, -0.45, 0.20, 0.11, -0.38, -0.65, 9.14, -1.94, 0.05, -0.05, -0.02
2.35, 8.93, -4.65, 0.27, -0.09, 0.40, 10.59, 1.46, -0.41, 0.33, 0.36, -0.21, -0.78, 9.39, -2.32, -0.07, 0.05, -0.00
3.42, 8.66, -5.14, 0.37, -0.20, -0.07, 10.37, 1.76, -0.44, 0.28, 0.27, 0.05, -0.54, 9.47, -2.15, -0.05, -0.09, 0.03
3.51, 8.36, -6.39, 0.59, 0.27, -0.68, 10.23, 1.61, 0.04, 0.19, 0.28, 0.41, -0.61, 9.46, -2.17, -0.00, -0.13, -0.00
1.48, 7.31, -7.33, -0.21, 0.10, -0.50, 9.60, 1.18, 0.52, 0.04, -0.34, 0.00, -0.79, 9.72, -1.72, 0.02, -0.02, -0.00
0.96, 7.90, -5.02, -0.58, -0.21, 0.08, 9.78, 0.51, -0.37, -0.20, -0.40, -0.15, -0.34, 9.52, -1.59, 0.05, 0.01, -0.02
