ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
3.53, -1.19, -10.76, -0.05, -0.01, -0.01, 3.51, 1.56, 8.91, 0.10, -0.04, -0.02, -0.43, 9.12, 2.66, 0.03, -0.01, 0.00
2.30, 0.02, -11.15, -0.05, -0.02, -0.02, 4.14, 0.90, 8.77, 0.07, -0.04, -0.02, -0.20, 9.11, 2.85, 0.02, -0.01, -0.01
2.45, -0.12, -11.09, -0.08, -0.02, -0.02, 4.22, 0.78, 8.74, 0.09, -0.07, -0.04, -0.31, 9.03, 2.86, -0.00, 0.07, -0.01
3.38, -1.06, -10.83, -0.06, -0.05, -0.10, 2.97, 0.67, 9.21, 0.11, -0.07, 0.03, -0.02, 9.22, 2.50, -0.06, -0.01, -0.02
3.26, -1.01, -10.92, -0.10, -0.01, -0.02, 3.15, 1.04, 9.13, 0.13, -0.09, -0.00, -0.26, 9.17, 2.60, -0.06, 0.00, 0.05
5.28, -0.93, -9.13, -0.04, -0.02, -0.00, 3.26, 1.25, 9.03, 0.08, -0.04, -0.04, 0.10, 9.29, -3.26, 0.01, -0.01, 0.03
4.49, 0.47, -10.41, -0.07, -0.00, -0.01, 5.19, 0.42, 8.32, 0.07, -0.04, -0.03, 1.19, 9.54, 0.91, 0.01, 0.01, -0.01
4.85, -0.13, -10.26, -0.06, -0.01, 0.00, 5.09, 1.11, 8.31, 0.07, -0.04, -0.03, 0.91, 9.51, 1.07, -0.01, -0.01, -0.02
4.62, 0.37, -10.31, -0.05, 0.01, 0.01, 5.48, 0.82, 8.11, 0.09, -0.04, -0.05, 1.10, 9.54, 1.09, 0.01, -0.01, -0.01
4.86, 0.50, -10.22, -0.06, -0.00, 0.00, 5.65, 0.80, 8.00, 0.07, -0.06, -0.04, 0.80, 9.57, 0.86, 0.01, -0.01, -0.00
5.20, 0.99, -9.92, -0.05, -0.01, -0.00, 6.25, 0.67, 7.60, 0.08, -0.03, -0.04, 1.18, 9.56, 1.24, 0.00, 0.04, -0.00
4.60, 1.03, -10.29, -0.06, -0.06, 0.00, 6.01, 0.33, 7.85, 0.08, -0.04, -0.03, 1.24, 9.61, 1.00, -0.01, -0.01, -0.02
4.43, 1.19, -10.32, -0.06, -0.01, 0.00, 5.95, 0.36, 7.82, 0.07, -0.03, -0.04, 1.06, 9.36, 1.15, 0.03, 0.01, 0.00
4.67, 1.19, -10.25, -0.06, -0.01, 0.00, 6.02, 0.33, 7.81, 0.08, -0.03, -0.03, 0.99, 9.57, 1.15, 0.00, 0.03, -0.00
4.87, 1.06, -10.10, -0.05, -0.01, -000, 6.33, 0.48, 7.49, 0.08, -0.03, -0.04, 1.05, 9.43, 1.47, 0.02, 0.01, -0.02
3.59, -2.36, -9.72, -0.07, 0.01, -0.05, 6.05, 0.16, 6.95, 0.05, -0.06, 0.01, 0.50, 9.62, 0.12, -0.00, 0.01, 0.01
3.98, 0.12, -10.67, -0.03, -0.05, 0.01, 7.79, -0.44, 6.20, 0.09, -0.02, -0.04, 0.54, 9.91, -0.14, 0.00, 0.05, -0.02
4.65, -0.70, -10.28, -0.05, -0.06, -0.00, 7.60, 0.02, 6.62, 0.05, -0.01, -0.00, 0.59, 9.75, -0.38, -0.01, 0.02, 0.02
4.25, -0.45, -10.51, -0.09, -0.01, 0.03, 7.53, -0.18, 6.44, 0.06, -.07, -0.05, 0.79, 9.60, -0.40, -0.02, 0.03, -0.03
4.57, 0.10, -10.44, -0.07, 0.05, -0.00, 7.92, -0.31, 6.04, 0.07, -0.05, -0.07, 0.93, 9.60, -0.10, -0.02, 0.03, -0.01
4.29, -0.27, -10.53, -0.06, -0.00, -0.02, 7.70, -0.14, 6.37, 0.10, -0.05, -0.04, 0.86, 9.69, -0.08, 0.02, 0.05, 0.00
4.78, -0.32, -10.32, -0.03, -0.05, -0.07, 7.86, 0.13, 6.20, 0.12, -0.07, -0.00, 0.54, 9.58, 0.04, -0.03, 0.01, 0.02
2.94, 0.27, -11.00, -0.06, -0.01, -0.01, 7.91, -0.48, 5.98, 0.09, -0.03, -0.04, 0.66, 9.63, 0.30, -0.00, -0.01, -0.02
3.11, 1.47, -10.73, -0.02, -0.02, -0.03, 8.45, -1.04, 5.19, 0.11, -0.02, -0.04, 0.74, 9.65, 0.26, -0.03, -0.02, -0.03
2.25, 0.41, -11.19, -0.05, -0.00, -0.03, 7.72, -1.04, 6.16, 0.11, -0.05, -0.02, 0.49, 9.62, 0.16, 0.02, -0.00, 0.01
