ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
5.71, -8.37, -3.10, -0.07, 0.01, -0.00, 0.87, 9.66, 1.00, 0.07, -0.04, -0.03, -0.08, 8.97, 2.85, -0.00, -0.00, -0.01
5.68, -8.37, -2.78, -0.16, -0.05, -0.09, 0.91, 9.60, 1.00, 0.03, -0.15, 0.07, -0.55, 9.18, 2.52, -0.06, 0.09, 0.05
6.12, -7.83, -3.94, -0.05, -0.03, -0.00, 1.46, 9.60, 1.27, 0.07, -0.02, -0.03, -0.11, 9.13, 2.73, 0.01, -0.02, -0.01
5.30, -4.65, -8.72, -0.37, -0.24, -0.05, 1.38, 5.06, 7.87, -0.48, -0.25, -0.10, -0.03, 9.52, 2.05, -0.04, 0.01, 0.02
4.05, -0.90, -10.70, 0.01, 0.02, -0.01, 3.43, 1.56, 8.94, 0.06, 0.02, -0.02, 0.07, 9.17, 2.38, 0.05, 0.03, 0.05
5.54, -8.65, -1.92, -0.05, -0.04, -0.02, -2.58, 8.80, 2.70, 0.04, -0.02, 0.01, -0.37, 8.13, -6.31, -0.50, 0.13, -0.11
4.91, -8.94, -2.58, -0.05, -0.02, -0.00, 1.71, 9.50, 1.52, 0.08, -0.03, -0.03, 1.12, 9.66, 0.13, 0.00, 0.01, 0.01
5.76, -8.44, -2.52, -0.05, -0.03, -0.01, 1.27, 9.50, 1.69, 0.08, -0.02, -0.02, 1.11, 9.56, 0.06, 0.01, 0.02, 0.00
5.42, -8.66, -2.34, -0.06, -0.00, 0.00, 1.18, 9.52, 1.60, 0.08, -0.03, -0.03, 1.17, 9.61, 0.57, -0.02, -0.01, 0.00
5.40, -8.71, -2.23, -0.06, -0.00, -0.01, 0.89, 9.53, 1.62, 0.08, -0.04, -0.03, 0.95, 9.63, 0.14, 0.02, -0.01, -0.01
5.24, -8.74, -2.55, -0.06, -0.01, -0.01, 1.37, 9.58, 1.33, 0.08, -0.04, -0.03, 1.20, 9.74, 0.47, 0.01, 0.01, -0.00
5.83, -8.33, -2.83, -0.06, -0.01, -0.01, 1.24, 9.63, 1.18, 0.07, -0.04, -0.03, 1.07, 9.69, 0.28, 0.01, -0.02, -0.01
5.44, -8.66, -2.41, -0.06, -0.01, -0.00, 0.82, 9.61, 1.32, 0.08, -0.04, -0.03, 1.06, 9.74, 0.15, 0.01, 0.01, -0.00
5.62, -8.54, -2.52, -0.05, -0.03, -0.00, 1.25, 9.61, 1.14, 0.08, -0.02, -0.03, 1.11, 9.62, 0.14, -0.01, 0.00, -0.00
5.57, -8.51, -2.74, -0.05, -0.02, 0.00, 1.81, 9.50, 1.24, 0.08, -0.02, -0.03, 1.15, 9.61, 0.85, 0.02, -0.00, -0.00
4.41, -9.23, -2.16, -0.06, 0.01, 0.00, 2.06, 9.61, -0.03, 0.08, -0.03, -0.04, 0.49, 9.68, -0.18, -0.01, 0.03, -0.00
5.20, -8.80, -2.31, -0.04, -0.03, -0.01, 2.06, 9.60, -0.24, 0.08, -0.01, -0.04, 0.81, 9.76, -0.07, 0.05, 0.04, -0.00
4.93, -8.97, -2.20, -0.05, 0.00, 0.00, 2.08, 9.60, -0.50, 0.08, -0.04, -0.04, 0.63, 9.66, -0.07, 0.03, 0.04, -0.00
4.65, -9.11, -2.55, -0.06, 0.02, 0.01, 2.39, 9.59, -0.20, 0.09, -0.07, -0.04, 0.52, 9.50, -0.04, -0.03, -0.04, 0.02
4.20, -9.30, -2.24, -0.06, -0.00, -0.01, 2.50, 9.50, -0.93, 0.08, -0.04, -0.03, 0.70, 9.67, -0.23, 0.02, 0.02, -0.00
3.58, -9.49, -2.65, -0.06, 0.11, -0.02, 2.72, 9.45, -0.72, 0.06, -0.11, -0.05, 0.69, 9.63, -0.17, -0.01, 0.02, -0.00
3.87, -9.45, -2.23, -0.06, -0.02, 0.01, 2.23, 9.60, -0.38, 0.07, -0.03, -0.03, 0.66, 9.64, -0.15, 0.03, 0.06, 0.02
3.84, -9.45, -2.26, -0.06, -0.02, -0.01, 2.12, 9.59, -0.48, 0.08, -0.03, -0.02, 0.64, 9.64, -0.27, -0.02, 0.01, -0.01
2.61, -9.77, -2.55, -0.05, -0.10, 0.01, 1.73, 9.64, -0.57, 0.08, 0.02, -0.02, 0.69, 9.64, -0.39, 0.01, 0.01, -0.01
2.85, -9.79, -2.50, -0.05, -0.02, -0.02, 1.96, 9.65, -0.48, 0.06, -0.03, -0.02, 0.72, 9.59, 0.01, -0.00, -0.07, 0.01
